#greyscale,name,continent id,x,y
1,_('Dacia'),5,355,175
2,_('Thracia'),5,403,196
3,_('Dalmatia'),5,316,214
4,_('Liguria'),5,265,229
5,_('Roma'),5,294,287
6,_('Apulia'),5,327,300
7,_('Corsica'),5,259,310
8,_('Sicilia'),5,343,347
9,_('Graecia'),5,401,263
10,_('Minoa'),5,445,290
11,_('Ionia'),5,476,218
12,_('Anatolia'),5,540,177
13,_('Hibernia'),1,86,169
14,_('Caledonia'),1,142,135
15,_('Anglia'),1,142,184
16,_('Thule'),1,210,78
17,_('Varangia'),1,314,16
18,_('Galicia'),1,330,90
19,_('Alemannia'),1,231,189
20,_('Gaul'),1,188,258
21,_('Iberia'),1,148,343
22,_('Atlas'),4,173,404
23,_('Carthage'),4,290,361
24,_('Gaitulia'),4,257,409
25,_('Cyrenaica'),4,386,375
26,_('Nubia'),4,447,410
27,_('Egypt'),4,517,365
28,_('Kush'),4,583,398
29,_('Parthia'),3,648,154
30,_('Sumer'),3,667,234
31,_('Assyria'),3,611,231
32,_('Phoenicia'),3,545,267
33,_('Babylon'),3,614,283
34,_('Sheba'),3,631,359
35,_('Hesperide'),2,37,245
36,_('Tritonis'),2,35,306
37,_('Poseidonis'),2,18,371
38,_('Oricalcos'),2,55,412
39,_('Rus'),6,475,39
40,_('Scythia'),6,422,103
41,_('Cimmeria'),6,512,91
42,_('Sarmathia'),6,621,67
